ObjectID,State,County/Parish,Year,Overall_SPB_PerDay,Overall_Clerids_PerDay,x,y
982,North Carolina,Nash,2020,0,6.7,-78.01518333,36.3058
983,North Carolina,Nash,2020,0,4.8,-77.96401667,36.18518333
984,North Carolina,Sampson,2020,0,1.9,-78.18822222,34.78880556
985,North Carolina,Sampson,2020,0,4.8,-78.21886111,34.89394444
986,North Carolina,Harnett,2020,0,0.7,-78.94677778,35.45722222
987,North Carolina,Madison,2020,0,1.2,-82.74981667,35.81513333
988,North Carolina,Madison,2020,0,7.8,-82.67696667,35.81331667
989,North Carolina,Madison,2020,0,1.4,-82.72131667,35.82318333
990,North Carolina,Davidson,2020,0,0.4,-80.17283333,35.628
991,North Carolina,Davidson,2020,0,0.3,-80.44283333,35.761
992,North Carolina,Davidson,2020,0,0.2,-80.31233333,35.79216667
993,North Carolina,Brunswick,2020,0,1.1,-78.43863333,33.9915
994,North Carolina,Brunswick,2020,0,0,-78.212,34.04221667
995,North Carolina,Brunswick,2020,0,0.1,-78.29016667,34.04795
996,North Carolina,Bertie,2020,0,0.6,-76.89326667,36.01491667
997,North Carolina,Bertie,2020,0,0.9,-77.19591667,36.12326667
998,North Carolina,Bertie,2020,0,1,-76.90106667,36.21465
999,North Carolina,Dare,2020,0.6,1.3,-75.813881,35.86755
1000,North Carolina,Dare,2020,0.4,2.7,-75.83267,35.61206
1001,North Carolina,Dare,2020,0.1,1.1,-75.75904,35.78749
1002,North Carolina,Montgomery,2020,0,0.2,-79.88468333,35.28186667
1003,North Carolina,Montgomery,2020,0,0.3,-79.8659,35.26245
1004,North Carolina,Montgomery,2020,0,2.1,-79.8678,35.23126667
1005,South Carolina,Aiken,2020,0,0.6,-81.732,33.329
1006,South Carolina,Barnwell,2020,0,4,-81.6473871,33.23850193
1007,South Carolina,Barnwell,2020,0.6,0.4,-81.68548245,33.15930149
1008,Georgia,Stephens,2020,14,5.1,-83.42286,34.55105
1009,Georgia,Stephens,2020,12,12.4,-83.35147,34.70493
1010,Georgia,Rabun,2020,7.3,11.5,-83.44478,34.81816
1011,North Carolina,Macon,2020,0.1,16.1,-83.45436667,35.27376667
1012,North Carolina,Macon,2020,0,8.9,-83.40588333,35.22731667
1013,North Carolina,Macon,2020,0.6,6.8,-83.38156667,35.0672
1014,Mississippi,Franklin,2020,22.7,21.3,-90.8005,31.51086
1015,Mississippi,Franklin,2020,6.7,6.4,-90.78234,31.45053
1016,Mississippi,Amite,2020,33,6.4,-90.82828,31.33026
1017,Mississippi,Amite,2020,19.3,14,-90.95544,31.2476
1018,Mississippi,Wilkinson,2020,9.8,30.7,-91.17288,31.29804
1019,Mississippi,Franklin,2020,18.1,20.7,-91.0621,31.38707
1020,Mississippi,Chickasaw,2020,0.6,5.6,-88.93187,34.03771
1021,Mississippi,Chickasaw,2020,2.7,13,-88.93814,33.95569
